232,(21.269476,-157.811741)
233,(21.286588,-157.831682)
235,(21.269006,-157.813811)
236,(21.269482,-157.811401)
237,(21.269678,-157.809533)
238,(21.269728,-157.807954)
240,(21.268714,-157.801611)
241,(21.267615,-157.800017)
242,(21.267971,-157.798914)
244,(21.270982,-157.797153)
246,(21.269654,-157.793565)
247,(21.268587,-157.791273)
248,(21.269639,-157.788622)
253,(21.277689,-157.779347)
254,(21.277307,-157.775842)
255,(21.276796,-157.771959)
256,(21.27595,-157.767308)
257,(21.276141,-157.763455)
259,(21.276984,-157.757937)
260,(21.277895,-157.75407)
262,(21.278673,-157.748964)
263,(21.280002,-157.74396)
264,(21.280728,-157.739015)
265,(21.282174,-157.733607)
266,(21.282828,-157.730356)
267,(21.285368,-157.725148)
268,(21.285922,-157.722897)
269,(21.285798,-157.719818)
271,(21.282774,-157.714934)
272,(21.2803,-157.710043)
273,(21.279291,-157.70884)
277,(21.296997,-157.662429)
278,(21.294697,-157.686865)
279,(21.293228,-157.684646)
280,(21.294049,-157.679792)
281,(21.296698,-157.6765)
282,(21.29799,-157.674214)
283,(21.298031,-157.670721)
284,(21.299997,-157.670791)
285,(21.301465,-157.671066)
286,(21.302721,-157.671743)
287,(21.300521,-157.672955)
288,(21.298409,-157.673437)
289,(21.293393,-157.673004)
290,(21.291892,-157.671951)
291,(21.291562,-157.669963)
292,(21.292156,-157.667322)
293,(21.291153,-157.66556)
294,(21.288479,-157.824985)
296,(21.292204,-157.821725)
297,(21.297157,-157.82109)
298,(21.29914,-157.82136)
299,(21.299377,-157.824308)
300,(21.299341,-157.826902)
301,(21.300185,-157.82827)
303,(21.301686,-157.830561)
304,(21.302622,-157.831966)
305,(21.303809,-157.834584)
306,(21.304587,-157.836099)
307,(21.305386,-157.837628)
308,(21.306578,-157.839922)
309,(21.307092,-157.841534)
310,(21.305648,-157.842977)
311,(21.304892,-157.843748)
314,(21.306063,-157.848928)
315,(21.306847,-157.850153)
316,(21.308868,-157.851337)
317,(21.310519,-157.851882)
318,(21.311779,-157.852244)
319,(21.312063,-157.854649)
323,(21.306501,-157.856183)
324,(21.304824,-157.858703)
325,(21.304466,-157.860014)
326,(21.305276,-157.860706)
327,(21.306485,-157.861749)
328,(21.307377,-157.862528)
329,(21.30813,-157.863226)
330,(21.310125,-157.862229)
331,(21.31062,-157.861349)
332,(21.311427,-157.860132)
333,(21.313265,-157.85883)
334,(21.315002,-157.857223)
335,(21.316827,-157.855527)
336,(21.318087,-157.854354)
337,(21.319077,-157.853413)
338,(21.321024,-157.851563)
339,(21.32299,-157.849856)
340,(21.324676,-157.848639)
341,(21.326398,-157.847336)
342,(21.327254,-157.846562)
343,(21.330538,-157.843906)
344,(21.331322,-157.843256)
345,(21.332885,-157.841986)
346,(21.334339,-157.840884)
347,(21.335434,-157.84006)
348,(21.337202,-157.837822)
349,(21.337854,-157.83703)
350,(21.339248,-157.835429)
362,(21.288815,-157.832545)
363,(21.289168,-157.831633)
364,(21.288594,-157.830132)
365,(21.287749,-157.827913)
371,(21.340698,-157.834241)
372,(21.33914,-157.835899)
373,(21.338041,-157.837162)
374,(21.336618,-157.839131)
375,(21.335527,-157.840397)
376,(21.334119,-157.841416)
